sample,fastq_1,fastq_2,strandedness,seq_platform
DU17-04S0024547,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024547_S31_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024547_S31_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024552,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024552_S32_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024552_S32_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024552,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024552_S32_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024552_S32_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024553,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024553_S33_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024553_S33_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024553,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024553_S33_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024553_S33_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024554,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024554_S34_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024554_S34_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024554,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024554_S34_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024554_S34_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024555,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024555_S35_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024555_S35_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024555,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024555_S35_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024555_S35_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024559,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024559_S36_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024559_S36_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024559,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024559_S36_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024559_S36_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024560,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024560_S37_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024560_S37_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024560,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024560_S37_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024560_S37_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024561,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024561_S38_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024561_S38_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024561,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024561_S38_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024561_S38_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024562,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024562_S39_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024562_S39_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024562,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024562_S39_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024562_S39_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024567,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024567_S40_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024567_S40_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024567,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024567_S40_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024567_S40_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024568,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024568_S41_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024568_S41_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024568,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024568_S41_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024568_S41_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024569,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024569_S42_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024569_S42_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024569,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024569_S42_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024569_S42_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024571,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024571_S43_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024571_S43_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024571,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024571_S43_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024571_S43_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024575,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024575_S44_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024575_S44_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024575,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024575_S44_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024575_S44_L002_R2_001.fastq.gz,auto,Illumina
DU17-04S0024576,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024576_S45_L001_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024576_S45_L001_R2_001.fastq.gz,auto,Illumina
DU17-04S0024576,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024576_S45_L002_R1_001.fastq.gz,/work/nfb9/seqdata/prometheusreanalysis/BURKE_5229_181112B6_fastq/DU17-04S0024576_S45_L002_R2_001.fastq.gz,auto,Illumina
