sample,fastq_1,fastq_2,strandedness,seq_platform
DU1704S0019768,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019768.fastq.gz,,auto,Illumina
DU1704S0019769,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019769.fastq.gz,,auto,Illumina
DU1704S0019770,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019770.fastq.gz,,auto,Illumina
DU1704S0019771,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019771.fastq.gz,,auto,Illumina
DU1704S0019772,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019772.fastq.gz,,auto,Illumina
DU1704S0019773,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019773.fastq.gz,,auto,Illumina
DU1704S0019774,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019774.fastq.gz,,auto,Illumina
DU1704S0019775,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019775.fastq.gz,,auto,Illumina
DU1704S0019776,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019776.fastq.gz,,auto,Illumina
DU1704S0019777,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019777.fastq.gz,,auto,Illumina
DU1704S0019778,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019778.fastq.gz,,auto,Illumina
DU1704S0019779,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019779.fastq.gz,,auto,Illumina
DU1704S0019780,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019780.fastq.gz,,auto,Illumina
DU1704S0019781,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019781.fastq.gz,,auto,Illumina
DU1704S0019782,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019782.fastq.gz,,auto,Illumina
DU1704S0019783,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019783.fastq.gz,,auto,Illumina
DU1704S0019784,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019784.fastq.gz,,auto,Illumina
DU1704S0019785,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019785.fastq.gz,,auto,Illumina
DU1704S0019786,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019786.fastq.gz,,auto,Illumina
DU1704S0019787,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019787.fastq.gz,,auto,Illumina
DU1704S0019788,/work/nfb9/Seq_Data_Raw/PrometheusReanalysis/whole_blood_Data_Batch1_fastq/DU1704S0019788.fastq.gz,,auto,Illumina
